unique_dates,weekday,matchday,tff_gw,fpl_gw,days_elapsed
2023-08-11 19:00,4,1,1,1,0.0
2023-08-12 11:30,5,2,1,1,1.0
2023-08-12 14:00,5,3,1,1,1.0
2023-08-12 16:30,5,4,1,1,1.0
2023-08-13 13:00,6,5,1,1,2.0
2023-08-13 15:30,6,6,1,1,2.0
2023-08-14 19:00,0,7,1,1,3.0
2023-08-18 18:45,4,8,2,2,7.0
2023-08-19 14:00,5,9,2,2,8.0
2023-08-19 16:30,5,10,2,2,8.0
2023-08-19 19:00,5,11,2,2,8.0
2023-08-20 13:00,6,12,2,2,9.0
2023-08-20 15:30,6,13,2,2,9.0
2023-08-21 19:00,0,14,2,2,10.0
2023-08-25 19:00,4,15,3,3,14.0
2023-08-26 11:30,5,16,3,3,15.0
2023-08-26 14:00,5,17,3,3,15.0
2023-08-26 16:30,5,18,3,3,15.0
2023-08-27 13:00,6,19,3,3,16.0
2023-08-27 15:30,6,20,3,3,16.0
2023-09-01 19:00,4,21,4,4,21.0
2023-09-02 11:30,5,22,4,4,22.0
2023-09-02 14:00,5,23,4,4,22.0
2023-09-02 16:30,5,24,4,4,22.0
2023-09-03 13:00,6,25,4,4,23.0
2023-09-03 15:30,6,26,4,4,23.0
2023-09-16 11:30,5,27,5,5,36.0
2023-09-16 14:00,5,28,5,5,36.0
2023-09-16 16:30,5,29,5,5,36.0
2023-09-17 13:00,6,30,5,5,37.0
2023-09-17 15:30,6,31,5,5,37.0
2023-09-18 18:45,0,32,5,5,38.0
2023-09-23 14:00,5,33,6,6,43.0
2023-09-23 16:30,5,34,6,6,43.0
2023-09-23 19:00,5,35,6,6,43.0
2023-09-24 13:00,6,36,6,6,44.0
2023-09-24 15:30,6,37,6,6,44.0
2023-09-30 11:30,5,38,7,7,50.0
2023-09-30 14:00,5,39,7,7,50.0
2023-09-30 16:30,5,40,7,7,50.0
2023-10-01 13:00,6,41,7,7,51.0
2023-10-02 19:00,0,42,7,7,52.0
2023-10-07 14:00,5,43,8,8,57.0
2023-10-21 14:00,5,44,9,9,71.0
2023-10-28 14:00,5,45,10,10,78.0
2023-11-04 15:00,5,46,11,11,85.0
2023-11-11 15:00,5,47,12,12,92.0
2023-11-25 15:00,5,48,13,13,106.0
2023-12-02 15:00,5,49,14,15,113.0
2023-12-05 19:45,1,50,15,15,116.0
2023-12-05 20:00,1,51,15,15,116.0
2023-12-06 20:00,2,52,15,15,117.0
2023-12-09 15:00,5,53,15,16,120.0
2023-12-16 15:00,5,54,16,17,127.0
2023-12-23 15:00,5,55,17,19,134.0
2023-12-26 15:00,1,56,18,19,137.0
2023-12-30 15:00,5,57,18,20,141.0
2024-01-13 15:00,5,58,20,21,155.0
2024-01-30 19:45,1,59,21,22,172.0
2024-01-30 20:00,1,60,21,22,172.0
2024-01-31 20:00,2,61,21,22,173.0
2024-02-03 15:00,5,62,21,23,176.0
2024-02-10 15:00,5,63,22,24,183.0
2024-02-17 15:00,5,64,23,25,190.0
2024-02-24 15:00,5,65,24,26,197.0
2024-03-02 15:00,5,66,25,27,204.0
2024-03-09 15:00,5,67,26,28,211.0
2024-03-16 15:00,5,68,27,29,218.0
2024-03-30 15:00,5,69,28,31,232.0
2024-04-02 18:45,1,70,29,31,235.0
2024-04-03 18:45,2,71,29,31,236.0
2024-04-03 19:00,2,72,29,31,236.0
2024-04-06 14:00,5,73,29,32,239.0
2024-04-13 14:00,5,74,30,33,246.0
2024-04-20 14:00,5,75,31,34,253.0
2024-04-27 14:00,5,76,32,35,260.0
2024-05-04 14:00,5,77,33,36,267.0
2024-05-11 14:00,5,78,34,37,274.0
2024-05-19 15:00,6,79,35,38,282.0
